,id,original_title,collection
206,11419,Vegas Vacation,National Lampoon's Vacation Collection
207,10003,The Saint,The Saint Collection
208,11844,The Van,Barrytown Trilogy
209,6499,Turbo: A Power Rangers Movie,Power Rangers Collection
210,9360,Anaconda,Anaconda Collection
211,816,Austin Powers: International Man of Mystery,Austin Powers Collection
212,49478,Warriors of Virtue,Warriors of Virtue Collection
213,1811,Nowhere,Teenage Apocalypse Trilogy
214,330,The Lost World: Jurassic Park,Jurassic Park Collection
215,33660,Shiloh,Shiloh Collection
216,1639,Speed 2: Cruise Control,Speed Collection
217,415,Batman & Robin,Batman Collection
218,17991,Tetsuo II: Body Hammer,Tetsuo Collection
219,607,Men in Black,Men In Black Collection
220,9387,Conan the Barbarian,Conan the Barbarian Collection
221,10603,George of the Jungle,George of the Jungle Collection
222,20737,Air Bud,Air Bud Collection
223,18519,Free Willy 3: The Rescue,Free Willy Collection
224,4961,Mimic,Mimic Collection
225,1669,The Hunt for Red October,The Jack Ryan Collection
226,9437,Kiss the Girls,Alex Cross Collection
227,10351,Wishmaster,Wishmaster Collection
228,3597,I Know What You Did Last Summer,I Know What You Did Last Summer Collection
229,1281,Bean,Mr. Bean Collection
230,563,Starship Troopers,Starship Troopers Collection
231,9823,Mortal Kombat: Annihilation,Mortal Kombat Collection
232,8078,Alien: Resurrection,Alien Collection
233,42832,Les Boys,Les Boys
234,9714,Home Alone 3,Home Alone Collection
235,4233,Scream 2,Scream Collection
236,714,Tomorrow Never Dies,James Bond Collection
237,9922,The Postman,The Postman Collection
238,32302,3 Ninjas: High Noon at Mega Mountain,3 Ninjas Collection
239,9033,The Prophecy II,The Prophecy Collection
240,11568,Blues Brothers 2000,The Blues Brothers Collection
241,11808,U.S. Marshals,The Fugitive / U.S. Marshals Collection
242,617,Wild Things,Wild Things Collection
243,17644,Barney's Great Adventure,Barney Collection
244,27472,The Odd Couple II,The Odd Couple Collection
245,10216,Species II,Species Collection
246,9771,Major League: Back to the Minors,Major League Collection
247,37410,Henry Fool,Henry Fool Collection
248,10674,Mulan,Mulan Collection
249,846,The X Files,The X-Files Collection
250,3050,Doctor Dolittle,Dr. Dolittle Collection
251,944,Lethal Weapon 4,Lethal Weapon Collection
252,1051,The French Connection,French Connection Collection
253,1366,Rocky,Rocky Collection
254,10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Collection
255,10072,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street Collection
256,10131,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street Collection
257,10160,A Nightmare on Elm Street 5: The Dream Child,A Nightmare on Elm Street Collection
258,11284,Freddy's Dead: The Final Nightmare,A Nightmare on Elm Street Collection
259,4488,Friday the 13th,Friday the 13th Collection
260,9725,Friday the 13th Part 2,Friday the 13th Collection
261,9728,Friday the 13th Part III,Friday the 13th Collection
262,9730,Friday the 13th: The Final Chapter,Friday the 13th Collection
263,9731,Friday the 13th: A New Beginning,Friday the 13th Collection
264,10225,Friday the 13th Part VI: Jason Lives,Friday the 13th Collection
265,10281,Friday the 13th Part VII: The New Blood,Friday the 13th Collection
266,10283,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Collection
267,948,Halloween,Halloween Collection
268,11281,Halloween II,Halloween Collection
269,10676,Halloween III: Season of the Witch,Halloween Collection
270,11357,Halloween 4: The Return of Michael Myers,Halloween Collection
271,11361,Halloween 5: The Revenge of Michael Myers,Halloween Collection
272,36599,Prom Night,Prom Night Collection
273,39929,Hello Mary Lou: Prom Night II,Prom Night Collection
274,41828,Prom Night III: The Last Kiss,Prom Night Collection
275,41769,Prom Night IV: Deliver Us from Evil,Prom Night Collection
276,10585,Child's Play,Child's Play Collection
277,11186,Child's Play 2,Child's Play Collection
278,11187,Child's Play 3,Child's Play Collection
279,609,Poltergeist,Poltergeist Collection
280,11133,Poltergeist II: The Other Side,Poltergeist Collection
281,10306,Poltergeist III,Poltergeist Collection
282,9552,The Exorcist,The Exorcist Collection
283,11586,Exorcist II: The Heretic,The Exorcist Collection
284,11587,The Exorcist III,The Exorcist Collection
285,941,Lethal Weapon,Lethal Weapon Collection
286,942,Lethal Weapon 2,Lethal Weapon Collection
287,943,Lethal Weapon 3,Lethal Weapon Collection
288,927,Gremlins,The Gremlins Collection
289,928,Gremlins 2: The New Batch,The Gremlins Collection
290,9342,The Mask of Zorro,Zorro Collection
291,165,Back to the Future Part II,Back to the Future Collection
292,196,Back to the Future Part III,Back to the Future Collection
293,551,The Poseidon Adventure,The Poseidon Adventure Collection
294,17984,The Absent-Minded Professor,Flubber Collection
295,22328,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Collection
296,3170,Bambi,Bambi Collection
297,242,The Godfather: Part III,The Godfather Collection
298,29228,The Computer Wore Tennis Shoes,Dexter Riley Collection
299,11164,D2: The Mighty Ducks,The Mighty Ducks Collection
300,12129,Herbie Goes Bananas,Herbie Collection
301,14140,Herbie Goes To Monte Carlo,Herbie Collection
302,11158,Honey I Blew Up the Kid,"Honey, I Shrunk the Kids Collection"
303,9354,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids Collection"
304,9325,The Jungle Book,The Jungle Book Collection
305,10340,Lady and the Tramp,Lady and the Tramp Collection
306,10144,The Little Mermaid,The Little Mermaid Collection
307,10414,The Mighty Ducks,The Mighty Ducks Collection
308,10437,The Muppet Christmas Carol,The Muppet Collection
309,12230,One Hundred and One Dalmatians,101 Dalmatians (Animated) Collection
310,10693,Peter Pan,Peter Pan Collection
311,11135,The Rescuers Down Under,The Rescuers Collection
312,11319,The Rescuers,The Rescuers Collection
313,14822,Return from Witch Mountain,Witch Mountain Collection
314,15969,The Return of Jafar,Aladdin Collection
315,15943,The Shaggy D.A.,The Shaggy Dog Collection
316,19762,Son of Flubber,Flubber Collection
317,2619,Splash,Splash Collection
318,97,Tron,TRON Collection
319,11675,Halloween: H20,Halloween Collection
320,87,Indiana Jones and the Temple of Doom,Indiana Jones Collection
321,123,The Lord of the Rings,The Lord of the Rings Animated Collection
322,10823,Children of the Corn,Children of the Corn Collection
323,11497,All Dogs Go to Heaven,All Dogs Go to Heaven Collection
324,2907,The Addams Family,Addams Family Collection
325,15171,Charlotte's Web,Charlotte's Web Collection
326,11704,The Secret of NIMH,The Secret Of NIMH Collection
327,4978,An American Tail,Fievel Collection
328,10380,An American Tail: Fievel Goes West,Fievel Collection
329,11415,House,House Collection
330,37530,House II: The Second Story,House Collection
331,8393,The Gods Must Be Crazy,The Gods Must Be Crazy Collection
332,11937,The Gods Must Be Crazy II,The Gods Must Be Crazy Collection
333,21661,Air Bud: Golden Receiver,Air Bud Collection
334,39930,"Henry II, Portrait of a Serial Killer",Henry: Portrait of a Serial Killer Collection
335,10692,Henry: Portrait of a Serial Killer,Henry: Portrait of a Serial Killer Collection
336,805,Rosemary's Baby,Rosemary's Baby Collection
337,34584,The Neverending Story,The Neverending Story Collection
338,34636,The Neverending Story II: The Next Chapter,The Neverending Story Collection
339,2182,Attack of the Killer Tomatoes!,Killer Tomatoes! Collection
340,36647,Blade,Blade Collection
341,431,Cube,Cube Collection
342,2109,Rush Hour,Rush Hour Collection
343,9877,Urban Legend,Urban Legend
344,1091,The Thing,The Thing Collection
345,4437,2010,The Space Odyssey Series
346,11932,Bride of Chucky,Child's Play Collection
347,9945,Vampires,Vampires Collection
348,4518,Elizabeth,Elizabeth Collection
349,3600,I Still Know What You Did Last Summer,I Know What You Did Last Summer Collection
350,12223,The Stepford Wives,Stepford Collection
351,14444,The Rugrats Movie,Rugrats Collection
352,1678,ゴジラ,Godzilla (Showa) Collection
353,39256,Godzilla 1985,Godzilla (Heisei) Collection
354,1680,Kingu Kongu tai Gojira,Godzilla (Showa) Collection
355,244,King Kong,King Kong (1933 series)
356,10730,King Kong,King Kong (1976 series)
357,31947,King Kong Lives,King Kong (1976 series)
358,9749,Fletch,Fletch Collection
359,14628,Fletch Lives,Fletch Collection
360,9626,Red Sonja,Conan the Barbarian Collection
361,707,A View to a Kill,James Bond Collection
362,9336,Police Academy,Police Academy Collection
363,10157,Police Academy 2: Their First Assignment,Police Academy Collection
364,12118,Police Academy 3: Back in Training,Police Academy Collection
365,10587,Police Academy 4: Citizens on Patrol,Police Academy Collection
366,11825,Police Academy 5: Assignment Miami Beach,Police Academy Collection
367,11895,Police Academy 6: City Under Siege,Police Academy Collection
368,9447,Babe: Pig in the City,Babe Collection
369,200,Star Trek: Insurrection,Star Trek: The Next Generation Collection
370,1369,Rambo: First Blood Part II,Rambo Collection
371,1368,First Blood,Rambo Collection
372,1370,Rambo III,Rambo Collection
373,10303,The Jewel of the Nile,Romancing the Stone Collection
374,9326,Romancing the Stone,Romancing the Stone Collection
375,10328,Cocoon,Cocoon Collection
376,11285,Cocoon: The Return,Cocoon Collection
377,1367,Rocky II,Rocky Collection
378,1371,Rocky III,Rocky Collection
379,1374,Rocky IV,Rocky Collection
380,1375,Rocky V,Rocky Collection
381,1885,The Karate Kid,The Karate Kid Collection
382,8856,"The Karate Kid, Part II",The Karate Kid Collection
383,10495,"The Karate Kid, Part III",The Karate Kid Collection
384,5825,National Lampoon's Christmas Vacation,National Lampoon's Vacation Collection
385,6917,The Gate,The Gate Collection
386,40729,The Gate II: Trespassers,The Gate Collection
387,11815,The Fly,The Fly (1958 series)
388,9426,The Fly,The Fly Collection
389,10344,The Fly II,The Fly Collection
390,30497,The Texas Chain Saw Massacre,Texas Chainsaw Massacre Collection
391,16337,The Texas Chainsaw Massacre 2,Texas Chainsaw Massacre Collection
392,25018,Leatherface: Texas Chainsaw Massacre III,Texas Chainsaw Massacre Collection
393,16780,Texas Chainsaw Massacre: The Next Generation,Texas Chainsaw Massacre Collection
394,9671,Crocodile Dundee,Crocodile Dundee Collection
395,9396,Crocodile Dundee II,Crocodile Dundee Collection
396,11873,The Color of Money,The Hustler Collection
397,8224,8MM,8MM Collection
398,8913,Pet Sematary,Pet Sematary Collection
399,10906,Pet Sematary II,Pet Sematary Collection
400,25748,Children of the Corn II: The Final Sacrifice,Children of the Corn Collection
401,25749,Children of the Corn III: Urban Harvest,Children of the Corn Collection
402,10671,Airport,Airport Collection
403,27932,Airport 1975,Airport Collection
404,7227,Airport '77,Airport Collection
405,33518,Alligator,Alligator Collection
406,2362,Westworld,Westworld Collection
407,871,Planet of the Apes,Planet of the Apes Original Collection
408,1685,Beneath the Planet of the Apes,Planet of the Apes Original Collection
409,1705,Battle for the Planet of the Apes,Planet of the Apes Original Collection
410,1688,Conquest of the Planet of the Apes,Planet of the Apes Original Collection
411,1687,Escape from the Planet of the Apes,Planet of the Apes Original Collection
412,29723,The Concorde... Airport '79,Airport Collection
413,31638,Beyond the Poseidon Adventure,The Poseidon Adventure Collection
414,9535,Analyze This,Analyze Collection
415,796,Cruel Intentions,Cruel Intentions Collection
416,7341,The Rage: Carrie 2,Carrie Collection
417,603,The Matrix,The Matrix Collection
418,564,The Mummy,The Mummy Collection
419,9460,黑侠,The Black Mask Collection
420,1893,Star Wars: Episode I - The Phantom Menace,Star Wars Collection
421,15849,The Mummy,The Mummy (Universal Series)
422,18990,The Mummy,The Mummy (Hammer Series)
423,29242,The Mummy's Curse,The Mummy (Universal Series)
424,29243,The Mummy's Ghost,The Mummy (Universal Series)
425,31498,The Mummy's Hand,The Mummy (Universal Series)
426,29239,The Mummy's Tomb,The Mummy (Universal Series)
427,1924,Superman,Superman Collection
428,8536,Superman II,Superman Collection
429,9531,Superman III,Superman Collection
430,11411,Superman IV: The Quest for Peace,Superman Collection
431,138,Dracula,Dracula (Universal Series)
432,30793,House of Dracula,Dracula (Universal Series)
433,3103,House of Frankenstein,Frankenstein (Universal Series)
434,3035,Frankenstein,Frankenstein (Universal Series)
435,3077,Son of Frankenstein,Frankenstein (Universal Series)
436,3074,The Ghost of Frankenstein,Frankenstein (Universal Series)
437,3076,Frankenstein Meets the Wolf Man,The Wolf Man (Universal Series)
438,3079,The Curse of Frankenstein,Frankenstein (Hammer Series)
439,32023,Son of Dracula,Dracula (Universal Series)
440,13666,The Wolf Man,The Wolf Man (Universal Series)
441,29794,Howling II: Stirba - Werewolf Bitch,The Howling Collection
442,36685,The Rocky Horror Picture Show,Rocky Horror Collection
443,17918,Swamp Thing,Swamp Thing Collection
444,817,Austin Powers: The Spy Who Shagged Me,Austin Powers Collection
445,37135,Tarzan,Tarzan (Animation) Collection
446,2105,American Pie,American Pie Collection
447,10239,Conte d'automne,Tales of the Four Seasons
448,10208,Muppets from Space,The Muppet Collection
449,2667,The Blair Witch Project,Blair Witch Collection
450,9825,Lake Placid,Lake Placid Collection
451,620,Ghostbusters,Ghostbusters Collection
452,2978,Ghostbusters II,Ghostbusters Collection
453,332,Inspector Gadget,Inspector Gadget Collection
454,147,Les Quatre Cents Coups,The Adventures of Antoine Doinel
455,9710,Allan Quatermain and the Lost City of Gold,Allan Quatermain Collection
456,10766,Damien: Omen II,The Omen Collection
457,10768,Omen III: The Final Conflict,The Omen Collection
458,813,Airplane!,Airplane Collection
459,2665,Airplane II: The Sequel,Airplane Collection
460,11418,National Lampoon’s European Vacation,National Lampoon's Vacation Collection
461,11153,National Lampoon's Vacation,National Lampoon's Vacation Collection
462,11077,Problem Child,Problem Child Collection
463,28597,Problem Child 2,Problem Child Collection
464,850,A Christmas Story,A Christmas Story Collection
465,10366,Universal Soldier: The Return,Universal Soldier Collection
466,9349,Universal Soldier,Universal Soldier Collection
467,11037,Iron Eagle,Iron Eagle Collection
468,11955,Iron Eagle II,Iron Eagle Collection
469,2038,Iron Eagle III,Iron Eagle Collection
470,28737,Iron Eagle IV,Iron Eagle Collection
471,91893,"Die Spinnen, 1. Teil - Der Goldene See",The Spiders Serial
472,11601,Stir of Echoes,Stir of Echoes Collection
473,11797,Fright Night,Fright Night Collection
474,18086,Fright Night Part 2,Fright Night Collection
475,10975,飛鷹計劃,Armour of God Collection
476,10974,龍兄虎弟,Armour of God Collection
477,9638,Phantasm,Phantasm Collection
478,10576,Psycho II,Psycho Collection
479,12662,Psycho III,Psycho Collection
480,11230,醉拳,Drunken Master Collection
481,1654,The Dirty Dozen,The Dirty Dozen Collection
482,658,Goldfinger,James Bond Collection
483,657,From Russia with Love,James Bond Collection
484,646,Dr. No,James Bond Collection
485,5689,The Blue Lagoon,The Blue Lagoon collection
486,391,Per un pugno di dollari,The Man With No Name Collection
487,772,Home Alone 2: Lost in New York,Home Alone Collection
488,65448,Penitentiary,Penitenciaría - Colección
489,65452,Penitentiary II,Penitenciaría - Colección
490,29064,The Omega Code,Omega Code Series
491,10496,Bats,Bats Collection
492,16162,The Best Man,The Best Man Collection
493,15247,The Ipcress File,Harry Palmer Collection
494,29251,On Any Sunday,On Any Sunday Collection
495,5548,RoboCop,RoboCop Collection
496,5549,RoboCop 2,RoboCop Collection
497,699,For Your Eyes Only,James Bond Collection
498,709,Licence to Kill,James Bond Collection
499,253,Live and Let Die,James Bond Collection
500,660,Thunderball,James Bond Collection
501,11377,House on Haunted Hill,House on Haunted Hill Collection
502,18111,Bride of Re-Animator,Re-Animator Collection
503,16281,Creepshow,Creepshow Collection
504,16288,Creepshow 2,Creepshow Collection
505,1694,Re-Animator,Re-Animator Collection
506,24831,Piranha,Piranha Collection
507,37853,Mister Roberts,Mister Roberts Collection
508,14035,Meatballs,Meatballs Collection
509,40771,Meatballs Part II,Meatballs Collection
510,40772,Meatballs III: Summer Job,Meatballs Collection
511,40773,Meatballs 4,Meatballs Collection
512,10228,劇場版ポケットモンスター ミュウツーの逆襲,Pokémon Collection
513,11663,The Commitments,Barrytown Trilogy
514,9264,Poison Ivy,Poison Ivy Collection
515,18222,Poison Ivy: The New Seduction,Poison Ivy Collection
516,20565,42 Up,The Up Series
517,36643,The World Is Not Enough,James Bond Collection
518,863,Toy Story 2,Toy Story Collection
519,32669,The Two Jakes,The Jake Gittes Collection
520,10402,Deuce Bigalow: Male Gigolo,Deuce Bigalow Collection
521,25188,The Last Picture Show,The Last Picture Show Collection
522,15515,The 7th Voyage of Sinbad,The Sinbad Collection
523,10137,Stuart Little,Stuart Little Collection
524,49948,Fantasia 2000,Fantasia Collection
525,10471,Next Friday,Friday Collection
526,14919,Batman: Mask of the Phantasm,Batman (DC Universe Animated) Collection
527,2005,Sister Act,Sister Act Collection
528,6279,Sister Act 2: Back in the Habit,Sister Act Collection
529,8872,Wayne's World,Wayne's World Collection
530,8873,Wayne's World 2,Wayne's World Collection
531,9869,Patriot Games,The Jack Ryan Collection
532,9367,El Mariachi,Mexico Trilogy
533,16562,The Cutting Edge,The Cutting Edge Collection
534,4234,Scream 3,Scream Collection
535,9605,Single White Female,Single White Female Collection
536,8374,The Boondock Saints,The Boondock Saints Collection
537,25934,"To Sir, with Love","To Sir, with Love Collection"
538,2787,Pitch Black,The Chronicles of Riddick Collection
539,2069,The Whole Nine Yards,The Whole Nine/Ten Yards Collection
540,10839,Cross of Iron,Cross of Iron Collection
541,838,American Graffiti,American Graffiti Collection
542,11176,The Muppet Movie,The Muppet Collection
543,11899,The Muppets Take Manhattan,The Muppet Collection
544,9532,Final Destination,Final Destination Collection
545,13939,Death Wish,Death Wish Collection
546,14373,Death Wish 2,Death Wish Collection
547,24873,Death Wish 3,Death Wish Collection
548,26263,Death Wish 4: The Crackdown,Death Wish Collection
549,34746,Death Wish 5: The Face of Death,Death Wish Collection
550,1498,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (Original) Collection
551,1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles (Original) Collection
