,genre,keywords,director,popularity,tagline,original_title,imdb_id,id
12,drama war,apocalypse army beret cambodia death green guerrilla insanity jungle napalm river tribe vietcong vietnam,Francis Ford Coppola,13.5963,this is the end...,Apocalypse Now,78788,12
13,western,and bounty englishman job justice last mutilation one prostitute regret reputation revenge right sheriff,Clint Eastwood,10.942149,some legends will never be forgotten. some wrongs can never be forgiven.,Unforgiven,105695,13
14,animation comedy family,agency alaska alcoholism beer donuts duff duringcreditsstinger dysfunctional dysfunctional ecology environmental family father first garbage lake lives love love marriage pig pollution protection quarantine relationship saving simpsons son springfield the,David Silverman,14.302911,see our family. and feel better about yours.,The Simpsons Movie,462538,14
15,drama fiction romance science,amnesia bittersweet brainwashing deja dream heartbreak jealousy love love memory nonlinear operation problems regret relationship relationship story timeline vu,Michel Gondry,12.906327,you can erase someone from your mind. getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,338013,15
16,action adventure fantasy,aftercreditsstinger bondage captain card company compass daughter east exotic fortune game india island monster pirate ship swashbuckler teller trading witch,Gore Verbinski,29.455314,jack is back!,Pirates of the Caribbean: Dead Man's Chest,383574,16
17,crime drama thriller,attempted diner distrust double dual family fight identity identity indiana lawyer life marriage mistaken mobster relationships robbery robbery self-defense small town violence,David Cronenberg,11.119707,tom stall had the perfect life... until he became a hero.,A History of Violence,399146,17
18,adventure fiction mystery science,artificial astronaut base being computer evolution human intelligence jupiter machine man mission monolith moon moon space space space station super technology travel vs,Stanley Kubrick,22.494622,an epic drama of adventure and exploration,2001: A Space Odyssey,62622,18
19,fiction mystery science thriller,cassandra dystopia lethal monkey philadelphia post-apocalyptic schizophrenia stockholm subterranean syndrom syndrome time travel virus,Terry Gilliam,12.297305,the future is history.,Twelve Monkeys,114746,19
20,drama music romance,1960s accident adultery brother concert country germany guitar loss marriage music music of prison record single,James Mangold,11.476443,love is a burning thing.,Walk the Line,358273,20
21,drama,advancement and attempt boxer boxing death determination dying fate female of protagonist sport stroke strong suicide trainer training transporter woman,Clint Eastwood,14.471373,"beyond his silence, there is a past. beyond her dreams, there is a feeling. beyond hope, there is a memory. beyond their journey, there is a love.",Million Dollar Baby,405159,21
22,comedy drama music,ballet class dancing england northern quarter scholarship strike workers',Stephen Daldry,12.158424,inside every one of us is a special talent waiting to come out. the trick is finding it.,Billy Elliot,249462,22
23,drama,angeles basketball brother brother brother family fascism friendship hate interracial jail los nazism nazism neo neo-nazi prison prison rape rape relationship school skinhead swastika usa xenophobia,Tony Kaye,18.157166,some legacies must end.,American History X,120586,23
24,adventure fiction science thriller,airplane alien apocalypse daughter disorder dystopia human invasion jersey new post stress subjugation traumatic,Steven Spielberg,19.929377,they're already here.,War of the Worlds,407304,24
25,comedy fantasy fiction science,ambassador cataclysm congress destruction flying house lasergun mars pest president saucer saving the total usa white world,Tim Burton,15.63424,nice planet. we'll take it!,Mars Attacks!,116996,25
26,drama romance,austria bittersweet danube dialogue romantic soulmates sunrise talking traveller vienna walking,Richard Linklater,11.304979,can the greatest romance of your life last only one night?,Before Sunrise,112471,26
27,mystery thriller,amnesia flashback individual insulin insurance loss memory motel neo-noir polaroid revenge salesman tattoo waitress,Christopher Nolan,15.450789,some memories are best forgotten.,Memento,209144,27
28,drama fiction science thriller,angeles artificial bounty cyberpunk dystopia fugitive futurista genetics hunter intelligence lluvia los neo-noir noir tech,Ridley Scott,96.272374,man has made his match... now it's his problem.,Blade Runner,83658,28
29,adventure animation fantasy,airplane anime based duringcreditsstinger ecology fungus future giant human insect manga nature on post-apocalyptic saving spores the toxic vs war world,Hayao Miyazaki,11.267366,,風の谷のナウシカ,87544,29
30,action adventure crime thriller,based cuba deal drug havana on series speedboat tv,Michael Mann,11.72545,no law. no rules. no order.,Miami Vice,430357,30
31,drama thriller,cataclysm diving diving fear nightmare panic primal red scuba scuba sea shark,Chris Kentis,10.652818,scream all you want.,Open Water,374102,31
32,action adventure,archaeologist archeology ark cairo commandments covenant egypt excavation hat himalaya hunt indiana jacket jones leather medallion mediterranean moses nazis nepal of riddle saving swastika ten the the treasure treasure whip world,Steven Spielberg,19.901576,indiana jones - the new hero from the creators of jaws and star wars.,Raiders of the Lost Ark,82971,32
33,drama romance,based berlin camp cancer club female free hippie love male male novel nudist nudity nudity obsession on problems reproduction scientist sexual sexual swinger teacher unsociability virgin,Oskar Roehler,11.552537,,Elementarteilchen,430051,33
34,action adventure,a archaeologist archeology belching belt brains bridge car car child conveyor cult driving eating film heart hunt indiana jones mine monkey riddle rope skeleton splits thuggee torture treasure treasure violence,Steven Spielberg,15.802306,if adventure has a name... it must be indiana jones.,Indiana Jones and the Temple of Doom,87469,34
35,drama music romance,abortion camp catskill class crush dance dancing dancing daughter differences doctor family holiday hotel love mambo master performance pregnancy relationship resort robbery romance secret sensuality sex sister sister summer summer teenage unwanted youth,Emile Ardolino,14.044122,have the time of your life.,Dirty Dancing,92890,35
36,action adventure,archaeologist archeology crusader entrapment escape father grail holy hunt indiana jones library nazis of order panzer relationship riddle saving son templars the the treasure treasure venice whip world,Steven Spielberg,14.788987,"the man with the hat is back. and this time, he's bringing his dad.",Indiana Jones and the Last Crusade,97576,36
37,action adventure fiction science thriller,asteroid astronaut cataclysm centre daughter disaster duringcreditsstinger eiffel father loss marine moon movie nasa of paris paris sacrifice saving self space space space the tower wedding world,Michael Bay,13.235112,the earth's darkest day will be man's finest hour,Armageddon,120591,37
38,action adventure fiction science,computer dystopia fiction game hacker reality science video virtual,Steven Lisberger,16.574021,a world inside the computer where man has never been.  until now.,Tron,84827,38
39,action adventure drama,2nd ancient arena barbarian battlefield blood century chariot combat daughter dream emperor empire father gladiator horde mother philosopher relationship relationship roman rome senate sequence slavery son successor world,Ridley Scott,23.186667,a hero will rise.,Gladiator,172495,39
40,comedy drama,abuse actress autograph barcelona birthday drug friend madrid spain transplantation transsexuality transvestism,Pedro Almodóvar,10.000915,part of every woman is a mother/actress/saint/sinner. and part of every man is a woman.,Todo sobre mi madre,185125,40
41,crime drama thriller,assassin brutality characters complex complex corruption cult family film hitman immigrant loneliness loss love murder neighbor neo-noir new of police relationship revenge s.w.a.t. tragic training york,Luc Besson,20.477329,"if you want a job done well, hire a professional.",Léon,110413,41
42,crime drama,alienation dealer death drug illegal loner misanthrope night obsession prostitution shift shot taxi to veteran vietnam vigilante,Martin Scorsese,14.092713,"on every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,75314,42
43,adventure comedy family fiction science,against and and and car car changing chases clock couple delorean destiny discoveries disorder escapade fish future getting guitar hidden home identity in inventions inventor journey life lightning love love mad misfit misfit odd of or out partner partners past past plutonium race race races romance scientist sports teenage teenage terrorist the the time time tower travel water,Robert Zemeckis,25.778509,he's the only kid ever to get into trouble before he was born.,Back to the Future,88763,43
44,action adventure fiction science thriller,3d alien america and central commando invisible predator south stalking,John McTiernan,18.495694,"if it bleeds, we can kill it...",Predator,93773,44
45,crime thriller,accent bare boxing cockney diamond goods gypsy knuckle of park pig pikey receiving slang sport stolen trailer,Guy Ritchie,14.014025,stealin' stones and breakin' bones.,Snatch,208092,45
46,action crime drama thriller,bitterness brother capitalism cocaine corruption cuba cult film loss miami of prohibition relationship sister sister,Brian De Palma,11.299673,the world is yours...,Scarface,86250,46
47,comedy romance,angeles capitalism car cinderella escape expensive fire friendship los piano prostitute restaurant sports workaholic,Garry Marshall,13.348451,who knew it was so much fun to be a hooker?,Pretty Woman,100405,47
48,comedy crime,angeles ashes attack ball bowling bowling bowling carpet cowboy dude heart impregnation kidnapping los lsd marijuana millionaire nihilism russian team unemployed veteran vietnam weeds white,Joel Coen,15.952524,times like these call for a big lebowski.,The Big Lebowski,118715,48
49,crime drama history thriller,1930s agent al capone chase cop cutting evasion face jury law of rooftop rule shaving suit tampering tax tough treasury untouchable while white,Brian De Palma,11.062203,what are you prepared to do?,The Untouchables,94226,49
50,adventure comedy family fantasy,based candy child child chocolate england factory father grandfather grandson london novel on overweight parent relationship relationship relationship son teacher worker,Tim Burton,22.038405,willy wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,367594,50
51,action adventure fantasy,(tolkien) a and based castle death dwarves elves fireworks friend hobbit middle-earth mirror mountain novel of on orcs password sorcery sword uncle volcano wizard,Peter Jackson,32.070725,one ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,120737,51
52,action adventure fantasy,(tolkien) and army attack based cave elves explosive fort guide hobbit middle-earth mission novel on orcs ring sorcery sword wizard,Peter Jackson,29.423537,a new power is rising.,The Lord of the Rings: The Two Towers,167261,52
53,action adventure fantasy,(tolkien) and based bravery brutality elves end ghost honor middle-earth novel of on orcs quest sorcery suspicion sword trilogy troll violence war,Peter Jackson,29.324358,the eye of the enemy is moving.,The Lord of the Rings: The Return of the King,167260,53
54,adventure animation fantasy,anime boar evil fight friendship good iron pan princess rural setting territory vs wild wolf,Hayao Miyazaki,17.166725,the fate of the world rests on the courage of one warrior.,もののけ姫,119698,54
55,adventure animation family fantasy,amusement anime bath child darkness ghost house japanese magic mythology parallel parent park relationship spirits witch world world youkai,Hayao Miyazaki,41.048867,the tunnel led chihiro to a mysterious town...,千と千尋の神隠し,245429,55
56,action adventure comedy,country fraud mississippi music music musical prophecy record seduction southern usa,Joel Coen,12.434175,they have a plan...but not a clue.,"O Brother, Where Art Thou?",190590,56
57,comedy drama fantasy romance,alarm clock cult day deja existentialism film forecast groundhog groundhog loop pennsylvania telecaster time time vu warp weather winter,Harold Ramis,12.989627,"he's having the worst day of his life... over, and over...",Groundhog Day,107048,57
58,drama fantasy mystery,airplane child morality parent performance presentation relationship school school suburbia teenager time travel vision,Richard Kelly,18.303148,you can never go too far,Donnie Darko,246578,58
59,drama romance,countryside cowboy crisis crossed daughter father gay homophobia horseback intolerance loss love lover lovers marriage murder of riding rodeo secret star wyoming,Ang Lee,11.787044,love is a force of nature.,Brokeback Mountain,388795,59
60,drama war,army battlefield battlefield boot camp combat disillusion germany helmet i soldier steel trauma trenches war warfare world young,Lewis Milestone,15.235056,they left for war as boys never to return as men.,All Quiet on the Western Front,20629,60
61,action adventure drama romance,artist arts comb desert female flying martial martial taskmaster theft thief tiger,Ang Lee,19.944953,"a timeless story of strength, secrets and two warriors who would never surrender.",卧虎藏龙,190332,61
62,drama romance,and crimes death depression director dubrovnik dying factory factory hearing impaired loss lover nurse of oil platform torture war woman worker yugoslavia,Isabel Coixet,12.775583,,The Secret Life of Words,430576,62
63,animation fiction science,anime army atomic bomb cyberpunk destruction dystopia experiment gang gang general megacity motorcycle mutation saving stadium street the total underground world,Katsuhiro Ōtomo,10.888917,neo-tokyo is about to e.x.p.l.o.d.e.,アキラ,94625,63
64,action comedy crime drama thriller,bowie convict cop fake fight knife prison tough,Walter Hill,15.297121,one cop. one con. no mercy.,48 Hrs.,83511,64
65,drama,aftercreditsstinger age clash class commercial culture difference director homesickness hotel jet karaoke lag pop room star unsociability upper woman,Sofia Coppola,11.609441,everyone wants to be found.,Lost in Translation,335266,65
66,action crime drama thriller,attorney based batman chaos city comic comics crime crime criminal dc district fighter gotham hero identity imax joker mastermind on organized powers sadism scarecrow secret super super superhero tragic vigilante villain,Christopher Nolan,123.167259,why so serious?,The Dark Knight,468569,66
67,crime thriller,accent and artist atlantic black card city city club cockney con dealer expert explosives lake las male pickpocket prison salt scene strip utah vegas white,Steven Soderbergh,12.114932,are you in or out?,Ocean's Eleven,240772,67
68,drama fantasy romance,at burglar first hairdresser inventor love scissors sight small town underdog unsociability,Tim Burton,17.612244,his scars run deep.,Edward Scissorhands,99487,68
69,crime thriller,company dutch eastindian egg egg fabergé golden goon part second sequel,Steven Soderbergh,11.869347,twelve is the new eleven.,Ocean's Twelve,349903,69
70,comedy drama romance,age broken brother cat celebration difference engagement escape fire jewelry life loss love millionaire neighbor of of one's store window,Blake Edwards,10.879289,"audrey hepburn plays that daring, darling holly golightly to a new high in entertainment delight!",Breakfast at Tiffany's,54698,70
71,adventure comedy family fiction science,almanac alternate cane car car dance delorean diner electric flying guitar high history hoverboard inventor lightning phone race school sequel skateboarding teenager time travel video walking,Robert Zemeckis,13.689855,"roads? where we're going, we don't need roads!",Back to the Future Part II,96874,71
72,comedy drama romance,adultery celebration crush dancing date daughter daughter mother paris puberty relationship teenage youth,Claude Pinoteau,12.105748,,La Boum,82100,72
73,drama fiction science,alien claim doubt dream help hospital hypnosis investigation medication mental murder patient planet psychiatrist robbery science,Iain Softley,12.400152,change the way you look at the world.,K-PAX,272152,73
74,adventure fiction science,biologist enterprise-a francisco marine opera san saving space the time travel uss vulcan whale world,Leonard Nimoy,12.596956,the key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,92007,74
75,action fiction science thriller,angeles drugs extraterrestrial invisible los on predator technology war,Stephen Hopkins,11.736241,silent. invisible. invincible. he's in town with a few days to kill.,Predator 2,100403,75
76,fiction horror science thriller,animal brutality church city coma daughter england epidemic from gas gun hospital laboratory london manchester military rage research station submachine survivor taxi violence virus waking zombie,Danny Boyle,17.656951,his fear began when he woke up alone. his terror began when he realised he wasn't.,28 Days Later,289043,76
77,action adventure fiction science thriller,brother enterprise-a federation hostage hostage klingon liberation loss of of opera romulans sacrifice self sha-ka-ree space starfleet uss vulcan,William Shatner,12.308007,adventure and imagination will meet at the final frontier.,Star Trek V: The Final Frontier,98382,77
78,adventure drama romance,and apnoe-diving competition death diving dolphin dying father friendship italy ocean oxygen relationship sicily son suicide,Luc Besson,13.503815,danger...like passion...runs deep,Le Grand Bleu,95250,78
79,crime horror mystery,based bludgeoning chained death film game of on pistol sadist short shotgun,James Wan,23.508433,live or die. make your choice.,Saw,387564,79
80,comedy drama,amok cynic disease fantasy forgiveness grail guilt gun holy homeless housebreaking legend loss lover mental of of past person person rampage running self-discovery sense show suppressed talk unsociability yuppie,Terry Gilliam,11.184385,"a modern day tale about the search for love, sanity, ethel merman and the holy grail.",The Fisher King,101889,80
81,action drama thriller,anarchist attack belfast blast bomb bomb bomb boston capsized computer concert explosion fireworks flashback headphones human irish orchestra planting revenge roulette ship terrorist violence wedding wheel,Stephen Hopkins,13.155071,5. 4. 3. 2. 1......time's up.,Blown Away,109303,81
82,crime thriller,a africa agent assassination civilization destruction dictator fbi fighter murder murder nations new of resistance resistance revenge to united witness york,Sydney Pollack,12.047671,the truth needs no translation.,The Interpreter,373926,82
83,action fiction mystery science thriller,d.c. dystopia evidence future future hologram murder neo-noir noir prophecy self-fulfilling washington,Steven Spielberg,20.666063,the system is perfect until it comes after you.,Minority Report,181689,83
84,comedy crime romance,airport arms deal drug police underworld weapon,Quentin Tarantino,16.415498,six players on the trail of a half a million in cash. there's only one question... who's playing who?,Jackie Brown,119396,84
85,drama fiction science,adolescence beethoven child controversial controversy dystopia futuristic gang living parent prison rape relationship sexuality social society society street together violence worker,Stanley Kubrick,17.112594,"being the adventures of a young man whose principal interests are rape, ultra-violence and beethoven.",A Clockwork Orange,66921,85
86,crime drama mystery thriller,agent assassin assassination black boss boss caso debts fbi gambler gambling gangster hoodlum horse identity in jew men mistake murder person racing rifle slevin sniper sniper,Paul McGuigan,11.15092,wrong time. wrong place. wrong number.,Lucky Number Slevin,425210,86
87,action crime thriller action crime thriller,and and and and based based black black black captive color color comic doing dystopia graphic held killer mercedes mysterious neo-noir novel on on right scene silhouette the thing to white white white and and and and based based black black black captive color color comic doing dystopia graphic held killer mercedes mysterious neo-noir novel on on right scene silhouette the thing to white white white,Robert Rodriguez,15.010525,walk down the right back alley in sin city and you can find anything...,Sin City,401792,87
88,crime thriller crime thriller,3d based comics dark detective dominatrix dystopia graphic horse murder neo-noir novel on suspense twins 3d based comics dark detective dominatrix dystopia graphic horse murder neo-noir novel on suspense twins,Robert Rodriguez,20.623642,there is no justice without sin.,Sin City: A Dame to Kill For,458481,88
89,drama mystery thriller,ages at burned christianity debate franciscan inquisition labyrinth library medieval middle monk murder mystery passage persecution poison poor rich secret stake the theological,Jean-Jacques Annaud,11.469751,"who, in the name of god, is getting away with murder?",The Name of the Rose,91605,89
90,comedy romance,daughter garden ghost gnome journey love montmartre paris photography round sex-shop shyness the train triangle world,Jean-Pierre Jeunet,12.879381,one person can change your life forever.,Le fabuleux destin d'Amélie Poulain,211915,90
91,adventure comedy family fiction science,american california car cavalry delorean gunfight horseback indian inventor locomotive mad native outlaw railroad riding robber saloon scientist sequel shootout sports territory time train travel west western wild,Robert Zemeckis,13.043999,they've saved the best trip for last... but this time they may have gone too far.,Back to the Future Part III,99088,91
92,action drama history war,enemy idealism in independence individual legend love revolt scotland tyranny with,Mel Gibson,20.755149,every man dies. not every man truly lives.,Braveheart,112573,92
93,action adventure fiction science thriller,ambush android assassination clone enterprise-e federation opera romulans romulus sacrifice self senate space starfleet telepathy weapon,Stuart Baird,11.367801,a generation's final journey... begins.,Star Trek: Nemesis,253754,93
94,drama history war,african atrocity body camp cruelty dead death genocide in militia murder nations refugee refugee rwanda rwanda slaughter united violence,Terry George,10.262332,"when the world closed its eyes, he opened his arms.",Hotel Rwanda,395169,94
95,drama,em filmes focados friendship individual literature philosophy poetry professor professor shakespeare um,Peter Weir,19.905716,he was their inspiration. he made their lives extraordinary.,Dead Poets Society,97165,95
96,comedy crime,cellar cemetery corpse critic halloween insanity killer marriage murder poison serial writer,Frank Capra,13.99011,she passed out on cary! no wonder . . . she's just discovered his favorite aunts have poisoned their 13th gentleman friend!,Arsenic and Old Lace,36613,96
97,mystery thriller,advertising agent assassination espionage framed fugitive government identity memorial mistaken mount national on run rushmore spy the,Alfred Hitchcock,12.410427,it's a deadly game of 'tag' and cary grant is 'it'...,North by Northwest,53125,97
98,crime horror thriller,brain face famous foot in mutilation nudity severed shot suffocation the theme tumor,Darren Lynn Bousman,14.938035,suffering? you haven't seen anything yet...,Saw III,489270,98
99,horror,killer riddle serial,Darren Lynn Bousman,15.399863,oh yes... there will be blood.,Saw II,432348,99
100,action adventure,alien archaeologist archeology city civilization explosion hunt indiana jacket jones leather machinegun maya mexico nuclear peru phenomenons refrigerator riddle saving the treasure treasure whip world,Steven Spielberg,12.577266,the adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,367882,100
101,action fiction science thriller,artificial car chase cyborg dystopia future glasses gun intelligence killer laser rebel robot saving setting shotgun sun the urban war world,James Cameron,19.293562,your future is in his hands.,The Terminator,88247,101
102,drama,authority car child gang individual parent race rebel rebel relationship street teen underground unsociability world,Nicholas Ray,10.968169,the bad boy from a good family.,Rebel Without a Cause,48545,102
103,crime drama,1950s age based beach boys campfire child coin coming flipping friendship normandy novel of on railroad reference story story story superman the to track within,Rob Reiner,15.206957,"for some, it's the last real taste of innocence, and the first real taste of life. but for everyone, it's the time that memories are made of.",Stand by Me,92005,103
104,crime drama,1940s american at boss crime crime family father first italian italy lawyer loss love mafia mob of organized patriarch power rise sight to,Francis Ford Coppola,41.109264,an offer you can't refuse.,The Godfather,68646,104
105,comedy romance,all band band chicago cross day day dressing dressing girl mafia massacre musician spats st. sugar valentine's valentine's witness,Billy Wilder,11.845107,the movie too hot for words!,Some Like It Hot,53291,105
106,crime drama,blood bloody body child corrupt cuba italo-american lawyer mafia man melancholy of politician praise punches revenge vororte woman,Francis Ford Coppola,36.629307,"i don't feel i have to wipe everybody out, tom. just my enemies.",The Godfather: Part II,71562,106
107,crime drama thriller,abuse controversial controversy couple daughter journalist mass murder press sadistic satire trauma violence yellow young,Oliver Stone,11.226856,the media made them superstars.,Natural Born Killers,110632,107
108,crime drama thriller,assassination christianity confession daughter helicopter italo-american italy lawyer new pope vatican york,Francis Ford Coppola,17.185349,all the power on earth can't change destiny.,The Godfather: Part III,99674,108
109,comedy drama romance comedy drama romance,adult an and bachelor becoming england friendship london music parent rap rock roll single single adult an and bachelor becoming england friendship london music parent rap rock roll single single,Chris Weitz,10.956665,one ordinary couple. one little white lie.,About a Boy,276751,109
110,action crime drama thriller,adultery bag classic corruption crime crisis ex-detainee fatale femme horse husband life marriage money noir of of race relationship robbery secret sniper way wife,Stanley Kubrick,10.223264,"...like no other picture since ""scarface"" and ""little caesar""!",The Killing,49406,110
111,drama fantasy mystery romance thriller,afterlife corruption fortune laundering money money pottery spiritism teller transfer,Jerry Zucker,11.945397,a love that will last forever.,Ghost,99653,111
112,family fantasy,addicted based candy child chocolate factory factory grandfather grandson musical novel on overweight person relationship single teacher tv worker,Mel Stuart,12.416635,it's scrumdiddlyumptious!,Willy Wonka & the Chocolate Factory,67992,112
113,action adventure drama,business business dinosaur exotic film film film indigenous island making monster producer screenplay ship show,Peter Jackson,19.761164,the eighth wonder of the world.,King Kong,360717,113
114,crime drama family,abuse and bad child child child children's england gang good home labour london orphanage runaway street thief violence,Roman Polanski,12.369935,,Oliver Twist,380599,114
115,comedy drama romance,1970s adultery affair brothel couple crisis daily divorce expensive extramarital fetish film independent infidelity japanese job-hopping life life marriage married music neglect of one's paris planning pregnancy relationship restaurant routine spouse teacher violin,François Truffaut,11.97502,,Domicile Conjugal,65651,115
116,drama romance,adultery alcoholic and death depression dying husband individual jealousy mississippi relationship southern suicide usa wife,Richard Brooks,11.794846,just one pillow on her bed ... and just one desire in her heart!,Cat on a Hot Tin Roof,51459,116
117,action fantasy,chemical city comics crime dc double dual fictional fighter gotham identity life place powers super superhero,Tim Burton,19.10673,have you ever danced with the devil in the pale moonlight?,Batman,96895,117
118,action crime drama,and arts based by city comic comics crime crime crime dc doctor escapade evil evil father fighter fighting good gotham haunted hero hero himalaya identity loss love love martial master ninja of on past powers rivalry romance secret society super superhero the tragic undercover unfulfilled unfulfillment vigilante villain vs,Christopher Nolan,28.505341,evil fears the knight.,Batman Begins,372784,118
119,crime drama thriller,auto car cheating dakota dealership kidnapping money murder north police ransom salesclerk unsociability winter woodchipper,Joel Coen,12.61469,a lot can happen in the middle of nowhere.,Fargo,116282,119
120,action fantasy thriller,bite blunt budapest descendant fang hostility life love of one's shootout subway vamp vampire werewolf,Len Wiseman,20.624333,underworld,Underworld,320691,120
121,crime drama,1940s board brutality cell corruption delinquent escape for framed from imprisonment murder parole police prison prison prison wrongful,Frank Darabont,51.645403,fear can hold you prisoner. hope can set you free.,The Shawshank Redemption,111161,121
122,drama history music,18th austria century composer crisis envy god italy marriage murder musician opera talent vienna,Miloš Forman,12.677592,...everything you've heard is true,Amadeus,86879,122
123,action fiction science thriller,ambiguity catch cyborg dystopia fictional institution mental moral morphing nuclear phrase post-apocalyptic savior shape shifter shotgun violence war weapons,James Cameron,22.661695,it's nothing personal.,Terminator 2: Judgment Day,103064,123
124,crime drama fiction science thriller,angeles bodyguard brutality criminal cyberpunk detective director dream dystopia ex-cop ex-girlfriend future los minidisc murder police police pornography private prostitute rape rapper reality revolt violence virtual woman,Kathryn Bigelow,11.223055,you know you want it.,Strange Days,114558,124
125,comedy drama romance,affair age attempt christmas clerk comedy difference eve extramarital flat lovesickness new new office party racket romantic spaghetti suicide tennis winter year's york,Billy Wilder,11.994281,"movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",The Apartment,53604,125
126,action adventure fantasy,abuse aftercreditsstinger afterlife alliance calypso company drug east exotic fighter india island life love ocean of one's pirate ship shipwreck strong swashbuckler trading traitor woman,Gore Verbinski,31.363664,"at the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,449088,126
127,western,against battle brawl draw fistfight gunslinger justice many marshal morality one quick shootout showdown street u.s.,Fred Zinnemann,16.715935,the story of a man who was too proud to run.,High Noon,44706,127
128,drama romance,camp casablanca concentration corruption emigration film love melodrama nationalism nazis noir patriotism resistance spy triangle visa war,Michael Curtiz,13.916101,they had a date with fate in casablanca!,Casablanca,34583,128
129,drama,brother brother fishing fishing fly gambling individual journalist montana pastor prohibition relationship,Robert Redford,12.583826,the story of an american family.,A River Runs Through It,105265,129
130,action fiction science thriller,artificial cyborg dystopia engine fire firemen glasses intelligence jacket killer launcher leather machine man nanotechnology psychiatrist robot rocket saving sun the veterinarian vs world,Jonathan Mostow,20.818907,the machines will rise.,Terminator 3: Rise of the Machines,181852,130
131,drama fantasy mystery,and and at broken crush death doctor engagement fate fireworks first life love millionaire religion sight supernatural teenage,Martin Brest,14.026744,sooner or later everyone does.,Meet Joe Black,119643,131
132,crime thriller,be casino heist labor las pretending revenge rich strike thief to vegas,Steven Soderbergh,12.16276,what are the odds of getting even? 13 to one.,Ocean's Thirteen,496806,132
133,comedy drama fantasy,art cloud date dream escape imagination insecure jealousy love magic mexico nightmare nudity paris sex subconsciousness travel,Michel Gondry,10.603991,close your eyes. open your heart.,La science des rêves,354899,133
134,western,belt cripple deputy gambler gun gunfighter guns jail marshal murder sheriff small stagecoach town two,Howard Hawks,10.847383,they fought back to back...no quarter given...no quarter asked...no way in...no way out...of rio bravo,Rio Bravo,53221,134
